Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-03-28,GODFRYPHLP,EQ,1064.05,1069.4,1072.3,1025.0,1033.0,1031.9,1036.43,24531,2542472820000.0,3990,10887,0.44380000000000003
2022-03-29,GODFRYPHLP,EQ,1031.9,1042.7,1042.7,1008.0,1012.6,1012.15,1021.93,16018,1636927015000.0,2041,9389,0.5861999999999999
2022-03-30,GODFRYPHLP,EQ,1012.15,1012.15,1035.0,1012.15,1021.5,1023.2,1025.21,13216,1354916970000.0,1896,6171,0.4669
2022-03-31,GODFRYPHLP,EQ,1023.2,1020.4,1034.95,1005.0,1009.95,1009.6,1017.59,14655,1491279045000.0,1799,8558,0.584
2022-04-01,GODFRYPHLP,EQ,1009.6,1014.65,1049.0,1011.65,1040.0,1041.9,1036.72,15491,1605988880000.0,2309,6835,0.4412
2022-04-04,GODFRYPHLP,EQ,1041.9,1041.9,1093.5,1040.95,1081.0,1085.55,1075.43,36453,3920277570000.0005,4380,12158,0.3335
2022-04-05,GODFRYPHLP,EQ,1085.55,1083.1,1094.75,1075.0,1086.0,1080.25,1084.47,12929,1402114240000.0,2129,4539,0.3511
2022-04-06,GODFRYPHLP,EQ,1080.25,1080.25,1104.75,1076.0,1080.0,1084.1,1091.19,20122,2195693325000.0,2831,8678,0.4313
2022-04-07,GODFRYPHLP,EQ,1084.1,1089.0,1098.75,1051.0,1060.0,1061.95,1081.02,19693,2128851985000.0002,3065,6428,0.3264
2022-04-08,GODFRYPHLP,EQ,1061.95,1061.95,1105.0,1061.95,1084.0,1087.75,1083.99,24265,2630312615000.0,2770,9236,0.38060000000000005
2022-04-11,GODFRYPHLP,EQ,1087.75,1088.0,1250.1,1088.0,1236.0,1234.7,1213.0,1301552,157878356135000.0,90128,88437,0.0679
2022-04-12,GODFRYPHLP,EQ,1234.7,1229.7,1241.0,1185.8,1222.8,1222.85,1212.77,297273,36052338075000.0,23218,36829,0.12390000000000001
